Detector Type/ Descriptor Type  ;Matches;Process Time;Total Time;;Detector Type/ Descriptor Type  ;Total Matches;Total Process Time;Total Total Time;Total Matches / Total Total Time;;
SHITOMASI/BRISK;95;3,4766;15,3763;;;;;;;;
SHITOMASI/BRISK;88;0,7484;10,5552;;;;;;;;
SHITOMASI/BRISK;80;1,3344;11,2801;;;;;;;;
SHITOMASI/BRISK;90;2,692;13,1076;;;;;;;;
SHITOMASI/BRISK;82;1,493;16,8023;;;;;;;;
SHITOMASI/BRISK;79;1,442;16,4297;;;;;;;;
SHITOMASI/BRISK;85;4,5262;16,4011;;;;;;;;
SHITOMASI/BRISK;86;3,0006;14,2553;;;;;;;;
SHITOMASI/BRISK;82;1,4024;12,1283;;SHITOMASI/BRISK;767;20,1156;126,3359;6;;
SHITOMASI/BRIEF;115;3,4716;15,3759;;;;;;;;
SHITOMASI/BRIEF;111;0,6612;11,8735;;;;;;;;
SHITOMASI/BRIEF;104;1,584;13,1556;;;;;;;;
SHITOMASI/BRIEF;101;1,2995;11,8766;;;;;;;;
SHITOMASI/BRIEF;102;1,701;13,8813;;;;;;;;
SHITOMASI/BRIEF;102;1,4539;15,7271;;;;;;;;
SHITOMASI/BRIEF;100;1,3705;13,3326;;;;;;;;
SHITOMASI/BRIEF;109;1,435;13,7752;;;;;;;;
SHITOMASI/BRIEF;100;3,7186;15,2948;;SHITOMASI/BRIEF;944;16,6953;124,2926;7;;
SHITOMASI/ORB;104;1,3537;11,0924;;;;;;;;
SHITOMASI/ORB;103;0,7224;10,8753;;;;;;;;
SHITOMASI/ORB;100;1,3181;11,1753;;;;;;;;
SHITOMASI/ORB;102;3,5492;13,4024;;;;;;;;
SHITOMASI/ORB;103;1,2779;11,2242;;;;;;;;
SHITOMASI/ORB;98;1,2337;12,2185;;;;;;;;
SHITOMASI/ORB;98;1,2931;11,1188;;;;;;;;
SHITOMASI/ORB;102;2,7731;12,4481;;;;;;;;
SHITOMASI/ORB;97;1,3157;11,3635;;SHITOMASI/ORB;907;14,8369;104,9185;8;;
SHITOMASI/FREAK;90;3,5925;13,5146;;;;;;;;
SHITOMASI/FREAK;88;0,8014;12,185;;;;;;;;
SHITOMASI/FREAK;87;2,6451;12,6156;;;;;;;;
SHITOMASI/FREAK;89;4,6781;14,8177;;;;;;;;
SHITOMASI/FREAK;83;1,7294;13,7615;;;;;;;;
SHITOMASI/FREAK;78;2,3679;13,9994;;;;;;;;
SHITOMASI/FREAK;81;2,838;14,9986;;;;;;;;
SHITOMASI/FREAK;86;1,8049;13,0673;;;;;;;;
SHITOMASI/FREAK;84;2,031;12,757;;SHITOMASI/FREAK;766;22,4883;121,7167;6;;
SHITOMASI/SIFT;112;0,7983;11,0946;;;;;;;;
SHITOMASI/SIFT;109;0,7027;10,9796;;;;;;;;
SHITOMASI/SIFT;104;1,279;11,231;;;;;;;;
SHITOMASI/SIFT;103;1,271;11,1436;;;;;;;;
SHITOMASI/SIFT;99;1,2608;11,5157;;;;;;;;
SHITOMASI/SIFT;101;1,2427;11,385;;;;;;;;
SHITOMASI/SIFT;96;2,0049;14,9685;;;;;;;;
SHITOMASI/SIFT;106;1,2967;12,4614;;;;;;;;
SHITOMASI/SIFT;97;1,2358;12,3002;;SHITOMASI/SIFT;927;11,0919;107,0796;8;;
HARRIS/BRISK;12;3,4633;13,6498;;;;;;;;
HARRIS/BRISK;10;0,629;12,3442;;;;;;;;
HARRIS/BRISK;14;1,4656;16,026;;;;;;;;
HARRIS/BRISK;15;1,4073;11,6767;;;;;;;;
HARRIS/BRISK;16;1,4522;18,7439;;;;;;;;
HARRIS/BRISK;16;1,6256;12,4318;;;;;;;;
HARRIS/BRISK;15;1,2869;14,8845;;;;;;;;
HARRIS/BRISK;23;1,3995;13,044;;;;;;;;
HARRIS/BRISK;21;1,9065;14,6937;;HARRIS/BRISK;142;14,6359;127,4946;1;;
HARRIS/BRIEF;14;5,4016;16,0005;;;;;;;;
HARRIS/BRIEF;11;0,8534;14,8368;;;;;;;;
HARRIS/BRIEF;15;1,4286;15,5676;;;;;;;;
HARRIS/BRIEF;20;1,1556;10,7451;;;;;;;;
HARRIS/BRIEF;24;1,1617;14,2715;;;;;;;;
HARRIS/BRIEF;26;1,7486;12,4417;;;;;;;;
HARRIS/BRIEF;16;1,5632;11,6587;;;;;;;;
HARRIS/BRIEF;24;1,1914;11,8543;;;;;;;;
HARRIS/BRIEF;23;1,8594;12,6099;;HARRIS/BRIEF;173;16,3635;119,9861;1;;
HARRIS/ORB;12;1,842;14,6265;;;;;;;;
HARRIS/ORB;13;0,6204;11,7366;;;;;;;;
HARRIS/ORB;16;1,1069;12,2946;;;;;;;;
HARRIS/ORB;18;1,2477;11,7901;;;;;;;;
HARRIS/ORB;24;1,1682;15,8639;;;;;;;;
HARRIS/ORB;18;1,1841;11,7278;;;;;;;;
HARRIS/ORB;15;1,1878;11,8314;;;;;;;;
HARRIS/ORB;24;1,712;12,8151;;;;;;;;
HARRIS/ORB;20;1,1329;13,046;;HARRIS/ORB;160;11,202;115,732;1;;
HARRIS/FREAK;13;3,1681;13,2689;;;;;;;;
HARRIS/FREAK;13;0,5693;11,2979;;;;;;;;
HARRIS/FREAK;15;3,6294;15,9385;;;;;;;;
HARRIS/FREAK;15;1,331;11,9465;;;;;;;;
HARRIS/FREAK;17;1,1632;17,323;;;;;;;;
HARRIS/FREAK;20;1,3019;12,7186;;;;;;;;
HARRIS/FREAK;14;1,5332;13,2981;;;;;;;;
HARRIS/FREAK;21;1,3916;12,87;;;;;;;;
HARRIS/FREAK;18;1,2885;12,712;;HARRIS/FREAK;146;15,3762;121,3735;1;;
HARRIS/SIFT;14;0,5388;11,3654;;;;;;;;
HARRIS/SIFT;11;0,9425;10,7126;;;;;;;;
