Detector Type ;Image Index;Total Keypoints;Vehicle Keypoints;Process Time;;;;;;;;;;
SHITOMASI;0;1370;125;12,3402;;;;;;;;;;
SHITOMASI;1;1301;118;12,6431;;;;;;;;;;
SHITOMASI;2;1361;123;10,0938;;;;;;;;;;
SHITOMASI;3;1358;120;9,995;;;;;;;;;;
SHITOMASI;4;1333;120;9,9553;;;;;;;;;;
SHITOMASI;5;1284;113;10,1918;;;;;;;;;;
SHITOMASI;6;1322;114;15,5877;;;;;;;;;;
SHITOMASI;7;1366;123;11,1119;;;;;;;;;;
SHITOMASI;8;1389;111;11,2513;;Total Time;114,2132;;;;;;;
SHITOMASI;9;1339;112;11,0431;;Total Keypoints;13423;1179;;;Vehicle Keypoints/ Total Points;10;;
HARRIS;0;115;17;11,0601;;;;;;;;;;
HARRIS;1;98;14;10,5328;;;;;;;;;;
HARRIS;2;113;18;10,539;;;;;;;;;;
HARRIS;3;121;21;10,143;;;;;;;;;;
HARRIS;4;160;26;10,8191;;;;;;;;;;
HARRIS;5;383;43;13,9883;;;;;;;;;;
HARRIS;6;85;18;9,9341;;;;;;;;;;
HARRIS;7;210;31;11,4629;;;;;;;;;;
HARRIS;8;171;26;10,454;;Total Time;110,5884;;;;;;;
HARRIS;9;281;34;11,6551;;Total Keypoints;1737;248;;;Vehicle Keypoints/ Total Points;2;;
FAST;0;5063;419;2,0476;;;;;;;;;;
FAST;1;4952;427;1,3754;;;;;;;;;;
FAST;2;4863;404;1,3408;;;;;;;;;;
FAST;3;4840;423;1,3036;;;;;;;;;;
FAST;4;4856;386;1,3873;;;;;;;;;;
FAST;5;4899;414;1,4177;;;;;;;;;;
FAST;6;4870;418;1,3912;;;;;;;;;;
FAST;7;4868;406;1,3488;;;;;;;;;;
FAST;8;4996;396;1,3817;;Total Time;14,4156;;;;;;;
FAST;9;4997;401;1,4215;;Total Keypoints;49204;4094;;;Vehicle Keypoints/ Total Points;283;;!! BEST RESULT
BRISK;0;2757;264;51,1227;;;;;;;;;;
BRISK;1;2777;282;50,1644;;;;;;;;;;
BRISK;2;2741;282;50,0292;;;;;;;;;;
BRISK;3;2735;277;55,8369;;;;;;;;;;
BRISK;4;2757;297;52,0031;;;;;;;;;;
BRISK;5;2695;279;50,4468;;;;;;;;;;
BRISK;6;2715;289;49,022;;;;;;;;;;
BRISK;7;2628;272;47,5117;;;;;;;;;;
BRISK;8;2639;266;48,5539;;Total Time;504,969;;;;;;;
BRISK;9;2672;254;50,2783;;Total Keypoints;27116;2762;;;Vehicle Keypoints/ Total Points;5;;
ORB;0;500;92;144,705;;;;;;;;;;
ORB;1;500;102;5,1959;;;;;;;;;;
ORB;2;500;106;6,2347;;;;;;;;;;
ORB;3;500;113;4,8547;;;;;;;;;;
ORB;4;500;109;5,7737;;;;;;;;;;
ORB;5;500;125;5,9795;;;;;;;;;;
ORB;6;500;130;5,0615;;;;;;;;;;
ORB;7;500;129;7,5202;;;;;;;;;;
ORB;8;500;127;6,0063;;Total Time;196,7779;;;;;;;
ORB;9;500;128;5,4464;;Total Keypoints;5000;1161;;;Vehicle Keypoints/ Total Points;5;;
AKAZE;0;1351;166;59,6525;;;;;;;;;;
AKAZE;1;1327;157;65,198;;;;;;;;;;
AKAZE;2;1311;161;65,4531;;;;;;;;;;
AKAZE;3;1351;155;59,6372;;;;;;;;;;
AKAZE;4;1360;163;57,8756;;;;;;;;;;
AKAZE;5;1347;164;57,9751;;;;;;;;;;
AKAZE;6;1363;173;56,3624;;;;;;;;;;
AKAZE;7;1331;175;56,9954;;;;;;;;;;
AKAZE;8;1357;177;54,6421;;Total Time;597,1765;;;;;;;
AKAZE;9;1331;179;63,3851;;Total Keypoints;13429;1670;;;Vehicle Keypoints/ Total Points;2;;
SIFT;0;1440;138;69,9616;;;;;;;;;;
SIFT;1;1373;132;61,9649;;;;;;;;;;
SIFT;2;1381;124;61,2892;;;;;;;;;;
SIFT;3;1336;138;59,8657;;;;;;;;;;
SIFT;4;1304;134;56,8138;;;;;;;;;;
SIFT;5;1370;140;55,5657;;;;;;;;;;
SIFT;6;1399;137;54,867;;;;;;;;;;
SIFT;7;1385;148;55,1327;;;;;;;;;;
SIFT;8;1467;159;55,3499;;Total Time;594,4766;;;;;;;
SIFT;9;1425;137;63,6661;;Total Keypoints;13880;1387;;;Vehicle Keypoints/ Total Points;2;;
